1518148,5572309,13941313,30085675,33436583,34037160,37021013,38374651,42628695,54716168,57651700,59189593,59577399,91866735,302906238,349450705
Bella?(for?Bette),龙港秘密,祝福,鬼新娘 - (《僵尸先生》电影歌曲),Windy?Hill,The?One?That?Got?Away,心目中的男孩团体,半调子人生?(Demo),God?Knows?I?Tried,Home,城市黄昏,芙蓉雨,????? - (红了?哥哥),Lies,你离开了南京，从此没有人和我说话,未给姐姐递出的信
おかあさん - (妈妈),青春,鸽子,スパークル?(movie?ver.) - (火花),Raindrops?on?Your?Face,Dealbreaker,如果有来生,やさしい恋の始めかた,No?Tears,I?Do,春的临终 - (Dying?in?Spring),风花雪月,???????(Growing?Pains) - (不要痛),Hero,身骑白马,已是两条路上的人
風のとおり道 - (风之通道),难忘的一天,空港曲,林中鸟,地尽头,You?Won't?Let?Me,卡伐蒂娜,执迷Remix,"Flightless?Bird,?American?Mouth",2U,城市,红昭愿,?????(Can?You?Feel?It?) - (触),追光者 - (电视剧《夏至未至》插曲),合久必婚,北京的冬天
问一问青春 - (电视剧《我们的四十年》片头曲),已是两条路上的人,当时的月亮 - (原唱：王菲),Baby?，До?свидания,Sway,给我十秒,蓝色,一番の宝物?(Original?Version) - (最珍贵的宝物),桂花酿,Baby,关于夜晚和失眠的世界(album?version),风花雪月,"?,??,???(You?Got?It) - (家伙)",A?Thousand?Years,River?Flows?In?You,不开的唇
1973,后海冲浪手,青海湖,有影无,Teenage?Dream,牙关,单恋高校,王蟲との交流 - (与王虫的交流),十年后的我?,Sugar,向阳花,好听,那些年 - (原唱:胡夏),Spinning?Over?You,三角志,再也不会去丽江
Kids,"妈妈一起飞吧，妈妈一起摇滚吧 - (Mama,?Let?Us?Take?Flight,?Let's?Rock'n'Roll)",致青春 - (电影《致我们终将逝去的青春》主题曲),昨夜小楼又东风,L.I.F.E.,相信,I?Never?Told?You,Beautiful?Things?Remix?feat.?Amanda?Diva?-?remix,性空山,Perfect,往事随风,远走高飞?(合唱版),新不了情,Starship,怯,小屋
Boston,Silent?Day,愿得一人心 - (电视剧《最美的时光》片头曲),定西,不会消失的夜晚,最好,极爱自己,没你没差,彩虹金刚,Sunrise,南国的孩子,唐三彩,Rising?Sun?(??) - (Rising?Sun?(纯真)),The?Next?Episode?(San?Holo?Remix),你飞到城市另一边 - (电视剧《长大》插曲),背影
Need?You?Now,绝对占有，相对自由 - (Demo),一夜成长(原味版),人海?-?2015版,奔跑在孤傲的路上 - (电视剧《旋风十一人》插曲),还是要幸福,故意,生日快乐,I,7?Years,岛歌,Love?mail,Hello,What?Lovers?Do,17岁,梦中的哈德森
You,祝星 - (Demo),阿刁 - (Diao),单车恋人,飘洋过海来看你,寂寞寂寞就好 - (电视剧《我爱幸运七》插曲),入戏,回望?RETROSPECT,小半,Rumors,青春再见 - (电影《怒放》首支概念单曲),清欢怅,Ring?Ding?Dong,A?Different?Way,修炼爱情 - (原唱:?林俊杰),赵小雷
原来你也在这里 - (电视剧《原来你还在这里》主题曲),易燃易爆炸,她在睡梦中,十个放火的少年,秋城,魔鬼中的天使,你是如此难以忘记 - (电影《一代宗师3D》主题曲),诗人说梦（prod.Danny),告白气球,Perfect,我到外地去看你,苏幕遮,?????????(Replay) - (姐姐真漂亮),Good?Old?Days,Valder?Fields,孤独
Today?Is?the?Day,有信心,八十年代的歌 - (Song?Of?The?80s),忘记他是她,Heavy,怪咖,路口,你还怕大雨吗(国语),宝贝?(in?a?day),My?Prayer,南方,孤城,????? - (做梦),一,你曾是少年,开往北京的火车
That?Girl,远辰,鼓楼 - (The?Drum?Tower),Not?Too?Late,Black?Sheep,背叛,Beautiful?Love,都别睡,那些你很冒险的梦,I?Miss?You,农夫渔夫,燕归巢,Replay?-君は仆のeverything-,Look?At?Me?Now,你是对的人 - (电视剧《爱情回来了》片尾曲),浮游
All?alright,所以我停下来,如也,The?Ding?Dong?Song?(The?Second?Spring),Grenade,Better?Me,红色高跟鞋,大雨?-?Album?Version,眼泪成诗,I'm?Yours,我会想起你,谷雨?伴奏,????(Sweet?Dream) - (蝴蝶睡姿),Until?You,傻瓜,妈妈
万年,她,一千年以后,蓝色Sha?La?La,Home,你太猖狂,Letting?Go,Lonesome?Town - (《低俗小说》插曲),How?Long?Will?I?Love?You,La?Da?Dee,天空之城,Firework,??(MIROTIC) - (咒文),All?About?Your?Heart,太阳的后裔?MIX,人家
门,我喜爱一切不彻底的事物,江南,你离开了南京，从此没有人和我说话,Autumn?Breeze?(Feat.?Rachel?Lim),恋上(另)一个人,被驯服的象,志明与春娇,菊次郎的夏天,Remind?You,你曾是少年,Fire,?????(The?Little?Prince) - (小王子),Paper?Love,Purple?Passion - (紫色激情),未给姐姐递出的信?
野子,你离开了南京，从此没有人和我说话?2015现场版,El?Dorado?Dubstep?(Remix)?-?remix,董卓瑶,Drive,白色恋人,Easy?Come?Easy?Go - (“美丽突然发生”巡回演唱会先发决定曲),Dearest - (最爱),谎话情歌,All?About?Us,一个人的北京,不谓侠,Like?a?Star,Undress?Rehearsal,坚强女人心 - (电视剧《武十郎》主题曲),Over
从前慢,种种,我要你 - (电影《驴得水》主题曲),春末的南方城市,Colors?(Sam?Feldt?Radio?Edit),眼泪成诗,流水年华,マイ?フレンド,Better?Me,There?For?You,南方姑娘,九阙梦华一朝尘（Cover?）,We?Can?,Break?Free,Stay?Here?Forever,南方姑娘?(弹唱版)
